timestamp,host,process,message,severity
2025-08-12T04:39:59.949423+00:00,sai-VirtualBox,kernel,"RETBleed: WARNING: Spectre v2 mitigation leaves CPU vulnerable to RETBleed attacks, data leaks possible!",WARNING
2025-08-12T04:39:59.949828+00:00,sai-VirtualBox,kernel,vmwgfx 0000:00:02.0: [drm] *ERROR* vmwgfx seems to be running on an unsupported hypervisor.,ERROR
2025-08-12T04:39:59.949828+00:00,sai-VirtualBox,kernel,vmwgfx 0000:00:02.0: [drm] *ERROR* This configuration is likely broken.,ERROR
2025-08-12T04:39:59.949829+00:00,sai-VirtualBox,kernel,vmwgfx 0000:00:02.0: [drm] *ERROR* Please switch to a supported graphics device to avoid problems.,ERROR
2025-08-12T04:40:15.398723+00:00,sai-VirtualBox,gnome-session[1649],gnome-session-binary[1649]: WARNING: Could not check if unit gnome-session-wayland@gnome-login.target is active: Error calling StartServiceByName for org.freedesktop.systemd1: Process org.freedesktop.systemd1 exited with status 1,WARNING
2025-08-12T04:40:15.398821+00:00,sai-VirtualBox,gnome-session-binary[1649],WARNING: Could not check if unit gnome-session-wayland@gnome-login.target is active: Error calling StartServiceByName for org.freedesktop.systemd1: Process org.freedesktop.systemd1 exited with status 1,WARNING
2025-08-12T04:40:36.608165+00:00,sai-VirtualBox,gnome-session[2611],gnome-session-binary[2611]: GnomeDesktop-WARNING: Could not create transient scope for PID 2843: GDBus.Error:org.freedesktop.DBus.Error.UnixProcessIdUnknown: Failed to set unit properties: No such process,WARNING
2025-08-12T04:40:36.613062+00:00,sai-VirtualBox,gnome-session-binary[2611],GnomeDesktop-WARNING: Could not create transient scope for PID 2843: GDBus.Error:org.freedesktop.DBus.Error.UnixProcessIdUnknown: Failed to set unit properties: No such process,WARNING
2025-08-12T04:40:36.634588+00:00,sai-VirtualBox,gnome-session[2611],gnome-session-binary[2611]: GnomeDesktop-WARNING: Could not create transient scope for PID 2856: GDBus.Error:org.freedesktop.DBus.Error.UnixProcessIdUnknown: Failed to set unit properties: No such process,WARNING
2025-08-12T04:40:36.634741+00:00,sai-VirtualBox,gnome-session-binary[2611],GnomeDesktop-WARNING: Could not create transient scope for PID 2856: GDBus.Error:org.freedesktop.DBus.Error.UnixProcessIdUnknown: Failed to set unit properties: No such process,WARNING
2025-08-12T04:40:40.746811+00:00,sai-VirtualBox,gnome-shell[1719],JS ERROR: Gio.IOErrorEnum: Xwayland exited unexpectedly#012@resource:///org/gnome/shell/ui/init.js:21:20,ERROR
2025-08-12T04:40:52.594753+00:00,sai-VirtualBox,gnome-shell[2643],DING: (gjs:3555): Gjs-WARNING **: 10:10:52.535: GLib.unix_signal_add has been moved to a separate platform-specific library. Please update your code to use GLibUnix.signal_add instead.,WARNING
2025-08-12T04:41:04.568758+00:00,sai-VirtualBox,tracker-miner-fs-3[3624],"(tracker-extract-3:3624): GLib-GIO-WARNING **: 10:11:04.568: Error creating IO channel for /proc/self/mountinfo: Invalid argument (g-io-error-quark, 13)",WARNING
2025-08-12T04:41:57.483121+00:00,sai-VirtualBox,update-notifier.desktop[3666],"WARNING:root:timeout reached, exiting",WARNING
2025-08-12T04:43:45.494820+00:00,sai-VirtualBox,python3[3778],"[""2025-08-12T10:13:45.494"", ""WARNING"", ""ubuntupro.system"", ""_get_kernel_build_date"", 150, ""Unable to parse build date from uname version"", {}]",WARNING
2025-08-12T04:43:45.498623+00:00,sai-VirtualBox,python3[3778],"[""2025-08-12T10:13:45.498"", ""WARNING"", ""ubuntupro.system"", ""_get_kernel_changelog_timestamp"", 123, ""Falling back to using timestamp of kernel changelog"", {}]",WARNING
2025-08-12T04:51:49.131124+00:00,sai-VirtualBox,tracker-miner-fs-3[4884],"(tracker-extract-3:4884): GLib-GIO-WARNING **: 10:21:49.130: Error creating IO channel for /proc/self/mountinfo: Invalid argument (g-io-error-quark, 13)",WARNING
2025-08-12T06:15:45.271389+00:00,sai-VirtualBox,gnome-shell[2643],DING: (gjs:7278): Gjs-WARNING **: 11:45:45.268: GLib.unix_signal_add has been moved to a separate platform-specific library. Please update your code to use GLibUnix.signal_add instead.,WARNING
2025-08-12T17:02:05.916579+05:30,sai-VirtualBox,kernel,"RETBleed: WARNING: Spectre v2 mitigation leaves CPU vulnerable to RETBleed attacks, data leaks possible!",WARNING
2025-08-12T17:02:05.949442+05:30,sai-VirtualBox,kernel,vmwgfx 0000:00:02.0: [drm] *ERROR* vmwgfx seems to be running on an unsupported hypervisor.,ERROR
2025-08-12T17:02:05.949443+05:30,sai-VirtualBox,kernel,vmwgfx 0000:00:02.0: [drm] *ERROR* This configuration is likely broken.,ERROR
2025-08-12T17:02:05.949444+05:30,sai-VirtualBox,kernel,vmwgfx 0000:00:02.0: [drm] *ERROR* Please switch to a supported graphics device to avoid problems.,ERROR
2025-08-12T17:02:16.760251+05:30,sai-VirtualBox,gnome-session[1271],gnome-session-binary[1271]: WARNING: Could not check if unit gnome-session-wayland@gnome-login.target is active: Error calling StartServiceByName for org.freedesktop.systemd1: Process org.freedesktop.systemd1 exited with status 1,WARNING
2025-08-12T17:02:16.761811+05:30,sai-VirtualBox,gnome-session-binary[1271],WARNING: Could not check if unit gnome-session-wayland@gnome-login.target is active: Error calling StartServiceByName for org.freedesktop.systemd1: Process org.freedesktop.systemd1 exited with status 1,WARNING
2025-08-12T17:02:39.248251+05:30,sai-VirtualBox,gnome-session[1915],gnome-session-binary[1915]: GnomeDesktop-WARNING: Could not create transient scope for PID 2113: GDBus.Error:org.freedesktop.DBus.Error.UnixProcessIdUnknown: Failed to set unit properties: No such process,WARNING
2025-08-12T17:02:39.248477+05:30,sai-VirtualBox,gnome-session-binary[1915],GnomeDesktop-WARNING: Could not create transient scope for PID 2113: GDBus.Error:org.freedesktop.DBus.Error.UnixProcessIdUnknown: Failed to set unit properties: No such process,WARNING
